<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.06	05:15:00	2643.67	2643.80	2640.87	2642.14	1085	0	16
2025.01.06	05:30:00	2642.15	2642.19	2639.97	2640.63	845	0	16
2025.01.06	05:45:00	2640.64	2641.14	2639.19	2640.19	688	0	16
2025.01.06	06:00:00	2640.18	2640.73	2636.02	2637.60	751	0	16
2025.01.06	06:15:00	2637.59	2638.33	2635.21	2637.84	1391	0	22
2025.01.06	06:30:00	2637.82	2638.48	2636.02	2636.81	668	0	16
2025.01.06	06:45:00	2636.81	2637.26	2634.50	2635.41	883	0	16
2025.01.06	07:00:00	2635.38	2636.16	2634.49	2634.82	770	0	16
2025.01.06	07:15:00	2634.81	2635.76	2634.20	2634.24	922	0	16
2025.01.06	07:30:00	2634.25	2634.93	2632.26	2632.95	1921	0	16
2025.01.06	07:45:00	2632.96	2634.21	2631.51	2633.87	1105	0	16
2025.01.06	08:00:00	2633.91	2635.33	2633.20	2634.39	1027	0	16
2025.01.06	08:15:00	2634.39	2635.10	2630.72	2631.41	1361	0	16
2025.01.06	08:30:00	2631.41	2632.10	2630.21	2631.75	1383	0	16
2025.01.06	08:45:00	2631.77	2632.49	2631.14	2631.51	1298	0	16
2025.01.06	09:00:00	2631.50	2633.70	2631.30	2632.14	1600	0	12
2025.01.06	09:15:00	2632.16	2632.17	2630.15	2631.04	1304	0	12
2025.01.06	09:30:00	2631.05	2631.23	2625.16	2625.72	1579	0	13
2025.01.06	09:45:00	2625.72	2627.72	2625.49	2626.86	935	0	13
2025.01.06	10:00:00	2626.79	2628.19	2625.72	2628.10	1340	0	12
2025.01.06	10:15:00	2628.09	2630.01	2627.31	2629.82	1426	0	12
2025.01.06	10:30:00	2629.83	2630.67	2627.31	2627.93	1302	0	12
2025.01.06	10:45:00	2627.93	2632.50	2627.43	2631.47	1322	0	12
2025.01.06	11:00:00	2631.36	2635.06	2631.14	2634.87	1980	0	14
2025.01.06	11:15:00	2634.88	2635.77	2633.17	2633.27	1511	0	12
2025.01.06	11:30:00	2633.22	2634.54	2632.58	2633.79	1009	0	12
2025.01.06	11:45:00	2633.54	2633.67	2631.64	2632.73	1131	0	12
2025.01.06	12:00:00	2632.79	2633.38	2631.25	2631.38	1100	0	12
2025.01.06	12:15:00	2631.36	2633.48	2631.23	2632.68	1001	0	12
2025.01.06	12:30:00	2632.37	2633.05	2630.95	2632.93	937	0	12
2025.01.06	12:45:00	2632.93	2634.98	2632.24	2633.75	1090	0	12
2025.01.06	13:00:00	2633.75	2637.13	2632.54	2636.30	2065	0	15
2025.01.06	13:15:00	2636.32	2645.23	2636.32	2644.86	3113	0	15
2025.01.06	13:30:00	2644.86	2649.36	2643.16	2648.82	3305	0	15
2025.01.06	13:45:00	2648.82	2649.41	2645.02	2645.65	2336	0	13
2025.01.06	14:00:00	2645.64	2647.00	2642.56	2643.93	2351	0	13
2025.01.06	14:15:00	2643.93	2645.39	2641.99	2642.41	2042	0	12
2025.01.06	14:30:00	2642.40	2646.71	2642.02	2644.67	1681	0	12
2025.01.06	14:45:00	2644.75	2647.82	2642.69	2645.41	1772	0	12
2025.01.06	15:00:00	2645.38	2648.85	2643.32	2645.95	2874	0	13
2025.01.06	15:15:00	2645.95	2646.32	2641.90	2642.32	2633	0	13
2025.01.06	15:30:00	2642.37	2642.56	2624.28	2624.77	3657	0	13
2025.01.06	15:45:00	2624.69	2627.38	2621.96	2624.27	3161	0	13
2025.01.06	16:00:00	2624.31	2629.87	2622.60	2626.95	3213	0	12
2025.01.06	16:15:00	2626.96	2628.60	2614.75	2625.80	3726	0	14
2025.01.06	16:30:00	2625.83	2628.64	2622.68	2624.14	3354	0	14
2025.01.06	16:45:00	2624.58	2634.83	2624.58	2631.45	3204	0	14
2025.01.06	17:00:00	2631.47	2635.44	2630.16	2631.60	3223	0	14
2025.01.06	17:15:00	2631.61	2639.63	2629.40	2639.05	2934	0	12
2025.01.06	17:30:00	2639.06	2639.60	2633.21	2635.19	3028	0	12
2025.01.06	17:45:00	2635.20	2636.73	2632.22	2634.26	2384	0	12
2025.01.06	18:00:00	2634.41	2637.35	2632.50	2636.81	2159	0	12
2025.01.06	18:15:00	2636.85	2638.85	2635.36	2638.43	2400	0	12
2025.01.06	18:30:00	2638.44	2640.78	2638.16	2640.21	1769	0	12
